category,manufacturer,model,variant,power_w,flow_l_h,volume_min_l,volume_max_l,dimensions_mm,connection_size,feature_flags,source_name,source_url,verification_status,verified_at,notes
external_filter,EHEIM,professionel 4+ 250,,12,950,120,250,"238x244x358","16/22 mm","self_priming;prefilter;xtender",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-250,verified,2026-08-24,"Manufacturer values: 3.5 L filter volume, 0.5 L prefilter, 1.5 m head."
external_filter,EHEIM,professionel 4+ 350,,16,1050,180,350,"238x244x398","16/22 mm","self_priming;prefilter;xtender",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-350,verified,2026-08-24,"Manufacturer values: 5 L filter volume, 0.5 L prefilter, 1.8 m head."
external_filter,EHEIM,professionel 4+ 600,,16,1250,240,600,"238x244x453","16/22 mm","self_priming;prefilter;xtender",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-600?c=1788,verified,2026-08-24,"Manufacturer values: 6.5 L filter volume, 0.5 L prefilter, 1.8 m head."
external_filter,EHEIM,professionel 4+ 250T,thermo,12,950,120,250,"238x244x398","16/22 mm","self_priming;prefilter;xtender;heater_210W",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-250t?c=1788,verified,2026-08-24,"Integrated 210 W heater; freshwater only per manufacturer page."
external_filter,EHEIM,professionel 4+ 350T,thermo,16,1050,180,350,"238x244x453","16/22 mm","self_priming;prefilter;xtender;heater_210W",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-350t?c=1788,verified,2026-08-24,"Integrated 210 W heater; freshwater only per manufacturer page."
external_filter,EHEIM,classic 150,,5,300,50,150,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current EHEIM dealer catalog technical table."
external_filter,EHEIM,classic 250,,8,440,80,250,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current EHEIM dealer catalog technical table."
external_filter,EHEIM,classic 350,,15,620,120,350,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current EHEIM dealer catalog technical table."
external_filter,EHEIM,classic 600,,20,1000,180,600,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current EHEIM dealer catalog technical table."
external_filter,Fluval,107,,10,,40,130,"190x180x350",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/107-canister-filter-10-30,verified,2026-08-25,"230-240 V wattage and dimensions from manufacturer. Pump/filter circulation values should be modeled as separate fields before import."
external_filter,Fluval,207,,10,,60,220,"190x180x420",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/07-series,verified,2026-08-25,"Manufacturer lists pump output 780 L/h and filter circulation 460 L/h; generic flow_l_h left blank to avoid conflating definitions."
external_filter,Fluval,307,,15,,90,330,"240x180x420",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/07-series,verified,2026-08-25,"230-240 V: 15 W. Manufacturer lists pump output 1150 L/h and filter circulation 780 L/h; generic flow field intentionally blank."
external_filter,Fluval,407,,20,,150,500,"240x180x490",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/07-series,verified,2026-08-25,"230-240 V: 20 W. Manufacturer lists pump output 1450 L/h and filter circulation 930 L/h; generic flow field intentionally blank."
external_filter,OASE,BioMaster 2 Thermo 250,,15,900,,250,"240x240x370","16/22 mm","prefilter;integrated_heater_150W;priming_button",OASE,https://www.oase.com/en/aquarium/biomaster-thermo-250-au,verified,2026-08-25,"Manufacturer max flow 900 L/h, operating power listed separately as 11 W; filter+heater 15+150 W."
