category,manufacturer,model,variant,power_w,flow_l_h,volume_min_l,volume_max_l,dimensions_mm,connection_size,feature_flags,source_name,source_url,verification_status,verified_at,notes
external_filter,EHEIM,professionel 4+ 250,,12,950,120,250,"238x244x358","16/22 mm","self_priming;prefilter;xtender",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-250,verified,2026-08-24,"Manufacturer values."
external_filter,EHEIM,professionel 4+ 350,,16,1050,180,350,"238x244x398","16/22 mm","self_priming;prefilter;xtender",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-350,verified,2026-08-24,"Manufacturer values."
external_filter,EHEIM,professionel 4+ 600,,16,1250,240,600,"238x244x453","16/22 mm","self_priming;prefilter;xtender",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-600?c=1788,verified,2026-08-24,"Manufacturer values."
external_filter,EHEIM,professionel 4+ 250T,thermo,12,950,120,250,"238x244x398","16/22 mm","self_priming;prefilter;xtender;heater_210W",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-250t?c=1788,verified,2026-08-24,"Integrated heater."
external_filter,EHEIM,professionel 4+ 350T,thermo,16,1050,180,350,"238x244x453","16/22 mm","self_priming;prefilter;xtender;heater_210W",EHEIM,https://eheim.com/en_GB/aquatics/technology/external-filters/professionel-4/professionel-4plus-350t?c=1788,verified,2026-08-24,"Integrated heater."
external_filter,EHEIM,classic 150,,5,300,50,150,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current dealer catalog."
external_filter,EHEIM,classic 250,,8,440,80,250,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current dealer catalog."
external_filter,EHEIM,classic 350,,15,620,120,350,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current dealer catalog."
external_filter,EHEIM,classic 600,,20,1000,180,600,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"Current dealer catalog."
external_filter,EHEIM,ecco pro 130,,5,500,60,130,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"2025/26 manufacturer catalog."
external_filter,EHEIM,ecco pro 200,,5,600,100,200,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"2025/26 manufacturer catalog."
external_filter,EHEIM,ecco pro 300,,8,750,160,300,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"2025/26 manufacturer catalog."
external_filter,EHEIM,eXperience 150,,8,500,80,150,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"2025/26 manufacturer catalog."
external_filter,EHEIM,eXperience 250,,8,700,120,250,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"2025/26 manufacturer catalog."
external_filter,EHEIM,eXperience 350,,24,1050,180,350,,,,EHEIM,https://eheim.com/media/13/1b/7b/1757670009/EHEIM_Haendlerkatalog_UK.pdf,verified,2026-08-25,"2025/26 manufacturer catalog."
external_filter,Fluval,107,,10,,40,130,"190x180x350",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/107-canister-filter-10-30,verified,2026-08-25,"Pump/filter circulation kept separate before import."
external_filter,Fluval,207,,10,,60,220,"190x180x420",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/07-series,verified,2026-08-25,"Pump/filter circulation kept separate before import."
external_filter,Fluval,307,,15,,90,330,"240x180x420",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/07-series,verified,2026-08-25,"Pump/filter circulation kept separate before import."
external_filter,Fluval,407,,20,,150,500,"240x180x490",,"canister",Fluval,https://fluvalaquatics.com/uk/shop/product/07-series,verified,2026-08-25,"Pump/filter circulation kept separate before import."
external_filter,OASE,BioMaster 2 Thermo 250,,15,900,,250,"240x240x370","16/22 mm","prefilter;integrated_heater_150W;priming_button",OASE,https://www.oase.com/en/aquarium/biomaster-thermo-250-au,verified,2026-08-25,"Manufacturer max flow."
